model,split,inference_time_seconds,Accuracy,Balanced Accuracy,Macro-F1,Weighted-F1,Precision,Recall,Specificity,ROC-AUC,PR-AUC,False Positive Rate,False Negative Rate,Brier Score,Expected Calibration Error,fit_time_seconds,model_group,MAE,RMSE,sMAPE,MAPE_safe,R2,normalized_RMSE,ramp_MAE,interval_coverage_probability,mean_prediction_interval_width,pinball_loss_q05,pinball_loss_q95,interval_calibration_error,variant,horizon_hours,feature_count,pinball_loss,uncertainty_error_correlation
RandomForestRegressor,external_test,0.2815010547637939,,,,,,,,,,,,,,84.2735288143158,Tree ensemble,0.3854963928301854,0.6018160351299573,0.1141265370296458,0.2125301832769398,0.9954674064221732,0.0673245391875252,0.3854963928301854,,,,,,,,,,
ExtraTreesRegressor,validation,0.5398051738739014,,,,,,,,,,,,,,31.14597487449646,Tree ensemble,0.384038327816091,0.627629425385304,0.1019997678163954,0.2439719470738636,0.9948535138089054,0.0717390144197572,0.384038327816091,,,,,,,,,,
ExtraTreesRegressor,test,0.4282259941101074,,,,,,,,,,,,,,31.14597487449646,Tree ensemble,0.4021877490907857,0.6160602905700406,0.1314998808344454,0.2892150598608786,0.9954346545611698,0.0675673400233336,0.4021877490907857,,,,,,,,,,
ExtraTreesRegressor,external_test,0.4935228824615478,,,,,,,,,,,,,,31.14597487449646,Tree ensemble,0.3748018683063728,0.5902888850759738,0.1122082853406614,0.2176385793511444,0.9956393776119246,0.0660350087991196,0.3748018683063728,,,,,,,,,,
HistGradientBoostingRegressor,validation,0.2003872394561767,,,,,,,,,,,,,,12.378600120544434,Boosting,0.3970180848117024,0.6076215809044313,0.1055077205884532,0.2298433650964412,0.9951764076326746,0.0694520868385011,0.3970180848117024,,,,,,,,,,
HistGradientBoostingRegressor,test,0.1929328441619873,,,,,,,,,,,,,,12.378600120544434,Boosting,0.4216333493326064,0.609460794390734,0.1374568951836236,0.3039084826635652,0.9955319424503796,0.0668435303424381,0.4216333493326064,,,,,,,,,,
HistGradientBoostingRegressor,external_test,0.2306239604949951,,,,,,,,,,,,,,12.378600120544434,Boosting,0.3846447108211995,0.5652575152763043,0.1156907338165545,0.2247670563774666,0.9960013631950406,0.0632347752748809,0.3846447108211995,,,,,,,,,,
XGBoost Regressor,validation,0.0566780567169189,,,,,,,,,,,,,,2.7383339405059814,Boosting,0.4302725746641335,0.6635676289799508,0.1129308162174294,0.2513385482023434,0.9942472619127152,0.07584680669593,0.4302725746641335,,,,,,,,,,
XGBoost Regressor,test,0.0587048530578613,,,,,,,,,,,,,,2.7383339405059814,Boosting,0.4560420101669258,0.6640428122333182,0.1470701718744561,0.334513162734199,0.9946958063438676,0.072829895338171,0.4560420101669258,,,,,,,,,,
XGBoost Regressor,external_test,0.0593748092651367,,,,,,,,,,,,,,2.7383339405059814,Boosting,0.4314733593802438,0.6435161193468013,0.1271812012901966,0.2490462684955282,0.9948175141054488,0.0719894846029025,0.4314733593802438,,,,,,,,,,
Quantile Gradient Boosting conformal,validation,0.4285881519317627,,,,,,,,,,,,,,,Boosting,0.4390567009852377,0.6950351576928582,0.1155476045585413,0.2686184757951916,0.9936887153842864,0.0794435939158784,0.4390567009852377,0.9935332255537592,6.61782151411629,0.1863642769100942,0.1486071742558452,0.0935332255537592,,,,,
Quantile Gradient Boosting conformal,test,0.4415891170501709,,,,,,,,,,,,,,,Boosting,0.4576472833207713,0.6890581554249209,0.1465472514469173,0.3274839273501031,0.9942886474915132,0.0755734907704678,0.4576472833207713,0.995533258887648,7.039492252519136,0.2054389057905349,0.14848769375404,0.095533258887648,,,,,
Quantile Gradient Boosting conformal,external_test,0.3900442123413086,,,,,,,,,,,,,,,Boosting,0.4348577950836329,0.6720451021545468,0.1274443493624976,0.2586930072836548,0.9943478183673734,0.0751809924872106,0.4348577950836329,0.9958832647210788,6.798734922506641,0.1934208283753139,0.1486234062213037,0.0958832647210786,,,,,
LSTM,validation,0.1360399723052978,,0.9336065573770492,0.8291102585905921,,,,,0.9874587594429314,0.7641859280243101,,,0.0245321169495582,,,Neural temporal,,,,,,,,,,,,,,,,,
LSTM,test,0.171426773071289,,0.9054587012692012,0.7814046965123651,,,,,0.9692299611005422,0.7418717725814723,,,0.0371934212744236,,,Neural temporal,,,,,,,,,,,,,,,,,
LSTM,external_test,0.1597869396209716,,0.8864617161154285,0.7928979331980778,,,,,0.9738209016146412,0.683567058858227,,,0.0346841365098953,,,Neural temporal,,,,,,,,,,,,,,,,,
GRU,validation,0.1910758018493652,,0.9257413022251916,0.8194266651150162,,,,,0.9852243177963924,0.7357864141622551,,,0.0281002335250377,,,Neural temporal,,,,,,,,,,,,,,,,,
GRU,test,0.2732398509979248,,0.8914761918282745,0.7994020958766205,,,,,0.973617081688861,0.7561384506923837,,,0.0342409461736679,,,Neural temporal,,,,,,,,,,,,,,,,,
GRU,external_test,0.2551240921020508,,0.8914912775112382,0.8030846569690966,,,,,0.9750422721086563,0.6922674114145387,,,0.0352421849966049,,,Neural temporal,,,,,,,,,,,,,,,,,
TCN,validation,0.1287732124328613,,0.6655789095020299,0.6803518650810326,,,,,0.9186571766277816,0.4124177744088856,,,0.0375808663666248,,,Neural temporal,,,,,,,,,,,,,,,,,
TCN,test,0.1212661266326904,,0.7963542406087623,0.7436706457296256,,,,,0.929888412504614,0.5891232643379535,,,0.0439347773790359,,,Neural temporal,,,,,,,,,,,,,,,,,
TCN,external_test,0.1215841770172119,,0.6933099034641451,0.6821059672939804,,,,,0.9018115938197596,0.3826887123791148,,,0.0508053451776504,,,Neural temporal,,,,,,,,,,,,,,,,,
Transformer Encoder,validation,0.2114419937133789,,0.7914178529215273,0.7349098360519294,,,,,0.952449252274012,0.4961423840674802,,,0.0387543439865112,,,Neural temporal,,,,,,,,,,,,,,,,,
Transformer Encoder,test,0.2773230075836181,,0.8043286294329766,0.7885462341538426,,,,,0.9548584570828244,0.6466381410738441,,,0.0302925482392311,,,Neural temporal,,,,,,,,,,,,,,,,,
Transformer Encoder,external_test,0.2444252967834472,,0.7713480757863036,0.7296978527231103,,,,,0.9473044723309354,0.4992497578235816,,,0.0418432615697383,,,Neural temporal,,,,,,,,,,,,,,,,,
STGCN-inspired compact,validation,0.136160135269165,,0.6592682049437278,0.6852501002703252,,,,,0.916904260239478,0.4115697380976105,,,0.035335287451744,,,Graph-temporal,,,,,,,,,,,,,,,,,
STGCN-inspired compact,test,0.1365330219268798,,0.80274567704932,0.7544231948967894,,,,,0.9322950680030664,0.5858776058500751,,,0.0406405478715896,,,Graph-temporal,,,,,,,,,,,,,,,,,
STGCN-inspired compact,external_test,0.133847951889038,,0.6804313182658865,0.6860022415951086,,,,,0.9048190203868414,0.3758555849494869,,,0.0463405549526214,,,Graph-temporal,,,,,,,,,,,,,,,,,
Graph WaveNet-inspired compact,validation,0.1518111228942871,,0.6594609178272265,0.715839147032417,,,,,0.9599003032016034,0.5816112687928668,,,0.0260318163782358,,,Graph-temporal,,,,,,,,,,,,,,,,,
Graph WaveNet-inspired compact,test,0.1340439319610595,,0.7757645021153354,0.786736643228859,,,,,0.9480308924160252,0.6455784907934042,,,0.0284491945058107,,,Graph-temporal,,,,,,,,,,,,,,,,,
Graph WaveNet-inspired compact,external_test,0.1757960319519043,,0.6611693538579975,0.7007510080064238,,,,,0.9430243882837258,0.5056660138582323,,,0.0336712747812271,,,Graph-temporal,,,,,,,,,,,,,,,,,
PatchTST-style compact,validation,0.4680240154266357,,0.7741225140038028,0.7095991012126837,,,,,0.9395369751785806,0.4004368849452306,,,0.0444005466997623,,,Neural temporal,,,,,,,,,,,,,,,,,
PatchTST-style compact,test,0.2583320140838623,,0.8118061273744286,0.762584234633924,,,,,0.9428490303529344,0.6223646968623466,,,0.0367831699550151,,,Neural temporal,,,,,,,,,,,,,,,,,
PatchTST-style compact,external_test,1.4917540550231934,,0.7844230848540541,0.7196852175677727,,,,,0.9347637467628396,0.4418219282592209,,,0.0502280667424202,,,Neural temporal,,,,,,,,,,,,,,,,,
TFT-inspired compact attention,validation,0.2323248386383056,,0.8825093786936635,0.777913241181607,,,,,0.9735608201860322,0.6315921129375585,,,0.0338056273758411,,,Neural temporal,,,,,,,,,,,,,,,,,
TFT-inspired compact attention,test,0.2456912994384765,,0.8804920639427583,0.7764607260553535,,,,,0.9584423180669523,0.6832931802851946,,,0.0386103391647338,,,Neural temporal,,,,,,,,,,,,,,,,,
TFT-inspired compact attention,external_test,0.2324459552764892,,0.8764398689168083,0.7784317655929447,,,,,0.9684275727297048,0.6272534412591187,,,0.0393401458859443,,,Neural temporal,,,,,,,,,,,,,,,,,
LSTM,validation,0.1360399723052978,,,,,,,,,,,,,,,Neural temporal,1.3476232290267944,1.9362768188352968,,,,0.19360316,,,,,,,,,,,
LSTM,test,0.171426773071289,,,,,,,,,,,,,,,Neural temporal,1.4591935873031616,2.094480131009974,,,,0.19374952,,,,,,,,,,,
LSTM,external_test,0.1597869396209716,,,,,,,,,,,,,,,Neural temporal,1.3431967496871948,1.9221247068867469,,,,0.17994015,,,,,,,,,,,
GRU,validation,0.1910758018493652,,,,,,,,,,,,,,,Neural temporal,1.3235491514205933,1.8867706228513856,,,,0.18865317,,,,,,,,,,,
GRU,test,0.2732398509979248,,,,,,,,,,,,,,,Neural temporal,1.3989343643188477,2.0029124273619425,,,,0.18527909,,,,,,,,,,,
GRU,external_test,0.2551240921020508,,,,,,,,,,,,,,,Neural temporal,1.2926876544952393,1.843251435712211,,,,0.1725564,,,,,,,,,,,
TCN,validation,0.1287732124328613,,,,,,,,,,,,,,,Neural temporal,2.8154664039611816,3.8711744313536567,,,,0.38706842,,,,,,,,,,,
TCN,test,0.1212661266326904,,,,,,,,,,,,,,,Neural temporal,3.025540351867676,4.180702499786804,,,,0.3867352,,,,,,,,,,,
TCN,external_test,0.1215841770172119,,,,,,,,,,,,,,,Neural temporal,2.8003501892089844,3.9483547454120274,,,,0.3696261,,,,,,,,,,,
Transformer Encoder,validation,0.2114419937133789,,,,,,,,,,,,,,,Neural temporal,2.75219988822937,3.879419821001977,,,,0.38789284,,,,,,,,,,,
Transformer Encoder,test,0.2773230075836181,,,,,,,,,,,,,,,Neural temporal,3.068114757537842,4.230034324200116,,,,0.3912986,,,,,,,,,,,
